sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,F9,5,13,SAMPLE,16S-515F+806R,16S,-,-,1644.9960036979483,-,0.03536526034084157,9869976.02218769,-,8188,3132,5056,145.71,2.494,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.48209401095448684,0.2930669800235018,2.3996324324324325,168.1152681992339,49.414371044303756,"1,89",3.237606476300751,55.73,18.99
,,,G9,25,70,SAMPLE,16S-515F+806R,16S,-,-,1079.0302730115711,-,0.0415441487041004,6474181.638069428,-,8211,2245,5966,145.71,2.519,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.31939803263409494,0.29600470035252646,2.430494594594595,165.76877505567958,48.51747401944348,"1,04",2.8386602892336015,59.93,24.22
,,,H9,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,0.0,-,-,-,-,8262,0,8262,145.71,2.622,-,-,12.0,-,-,Std-Ref,-,-,0.0,0.3081081081081081,2.5455891891891893,0.0,35.1593488259502,"0,52",3.8977388860902225,15.51,0.14
,,,A10,10,27,SAMPLE,16S-515F+806R,16S,-,-,867.8247773856177,-,0.04540960371216027,5206948.664313707,-,8068,1874,6194,145.71,2.592,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.26432453854095433,0.30458284371327854,2.457374383078731,176.60243329775932,48.24087665482721,"1,12",3.1928366126237995,52.27,30.37
,,,B10,22,61,SAMPLE,16S-515F+806R,16S,-,-,845.3400967965765,-,0.04559941216998624,5072040.580779459,-,8141,1858,6283,145.71,2.608,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.25906544917103075,0.3064629847238543,2.4949151586368976,174.16508611410117,46.58018144198644,"1,14",3.3592234725804784,58.02,19.18
,,,C10,1,1,SAMPLE,16S-515F+806R,16S,-,-,291.63155539885304,-,0.07546399143627751,1749789.3323931182,-,8091,675,7416,145.71,2.542,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.08711250456214857,0.29870740305522914,2.4168415981198588,170.5736740740742,47.38707119741111,"0,66",3.38809240490115,51.0,24.67
,,,D10,13,36,SAMPLE,16S-515F+806R,16S,-,-,2855.7349460277396,-,0.029458536803811473,1.713440967616644E7,-,8262,4695,3567,145.71,2.503,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.8399417825978183,0.2941245593419507,2.4300571092831964,174.7233013844514,53.08373703392207,"2,43",3.282505656214915,55.66,20.72
,,,E10,25,70,SAMPLE,16S-515F+806R,16S,-,-,1146.8163246239624,-,0.04054130627494192,6880897.947743774,-,8207,2360,5847,145.71,2.516,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.3390587394540411,0.2956521739130435,2.426417391304348,169.73836440677957,49.978813066529725,"1,46",2.9085424973715215,57.19,26.49
,,,F10,6,16,SAMPLE,16S-515F+806R,16S,-,-,613.1202160877267,-,0.0527404092563046,3678721.2965263603,-,8276,1385,6891,145.71,2.542,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.18314354750822576,0.29870740305522914,2.472102467685076,167.15477256317692,46.69874183717887,"0,65",3.2077027727524916,58.65,17.14
,,,G10,26,73,SAMPLE,16S-515F+806R,16S,-,-,370.24762040819866,-,0.06671461040607927,2221485.722449192,-,8243,864,7379,145.71,2.545,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.11072622725486082,0.2990599294947121,2.465150998824912,173.56571759259253,47.96516059086594,"0,56",3.357417481348918,49.72,27.78
,,,H10,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,10.245345651446312,-,0.3843809131699341,-,-,8212,26,8186,145.71,2.634,-,-,12.0,-,-,Std-Ref,-,-,0.003171121086475862,0.30951821386603995,2.54176357226792,151.8511538461538,35.648705106278946,"0,06",3.8262687969475286,43.35,16.31
,,,A11,11,30,SAMPLE,16S-515F+806R,16S,-,-,1653.945002451968,-,0.03481979623319446,9923670.01471181,-,8040,3240,4800,145.71,2.654,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5158131652770298,0.3118683901292597,2.507421856639248,174.18602469135772,49.44678958333331,"1,74",2.9015093480033807,59.26,28.34
,,,B11,23,64,SAMPLE,16S-515F+806R,16S,-,-,1513.2928759718566,-,0.03582157065050216,9079757.255831141,-,8231,3048,5183,145.71,2.601,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.46252347478293754,0.30564042303172734,2.5157263219741477,168.85183070866125,47.09412888288639,"1,56",3.2078670416316037,56.62,20.44
,,,C11,2,4,SAMPLE,16S-515F+806R,16S,-,-,270.8344024194763,-,0.07713599216345543,1625006.4145168578,-,8275,646,7629,145.71,2.554,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.08128214615503436,0.30011750881316096,2.483472385428907,178.89013931888542,49.079128326124064,"0,44",3.6178034314299574,45.9,27.19
,,,D11,14,39,SAMPLE,16S-515F+806R,16S,-,-,1616.3192083761367,-,0.03523658920288351,9697915.250256822,-,8147,3157,4990,145.71,2.581,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.4902138515650774,0.30329024676850763,2.4709056404230316,167.30298067785856,49.90676352705415,"2,28",3.1123100879603887,55.91,21.53
,,,E11,26,73,SAMPLE,16S-515F+806R,16S,-,-,557.3541610911124,-,0.054679173438078245,3344124.9665466743,-,8264,1288,6976,145.71,2.587,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.16943304521065897,0.3039952996474736,2.512217156286722,171.01093167701842,48.920293864678996,"0,94",3.273837406156853,52.98,25.02
,,,F11,7,19,SAMPLE,16S-515F+806R,16S,-,-,715.4416593660828,-,0.04940366479370319,4292649.956196497,-,8223,1580,6643,145.71,2.538,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.2133714373056543,0.2982373678025852,2.452405875440658,169.2078481012659,47.42012494354954,"1,06",2.8120815012627367,64.7,20.91
,,,G11,27,76,SAMPLE,16S-515F+806R,16S,-,-,780.5466046476797,-,0.047505251920869275,4683279.627886078,-,8257,1710,6547,145.71,2.53,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.23205439597633717,0.29729729729729726,2.4547837837837836,168.2268245614035,48.34097143729963,"0,92",3.0653383907711023,52.86,26.49
,,,H11,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,0.0,-,-,-,-,8179,0,8179,145.71,2.658,-,-,12.0,-,-,Std-Ref,-,-,0.0,0.31233842538190365,2.55461598119859,0.0,36.38316420100267,"0,01",0.0,0.0,17.09
,,,A12,12,33,SAMPLE,16S-515F+806R,16S,-,-,1425.6483530929045,-,0.039160565273380535,8553890.118557427,-,6973,2549,4424,145.71,2.716,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.45500128401884005,0.31915393654524093,2.2254603995299647,176.72676735974903,51.50750226039777,"1,81",2.9450879738406823,55.35,31.16
,,,B12,24,67,SAMPLE,16S-515F+806R,16S,-,-,2513.3041494118247,-,0.029967665815192727,1.5079824896470949E7,-,8294,4502,3792,145.71,2.65,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.7826387774314142,0.3113983548766157,2.582737955346651,176.4610817414482,52.03735759493667,"1,78",3.8726038149252866,45.77,19.7
,,,C12,3,7,SAMPLE,16S-515F+806R,16S,-,-,1836.590559541685,-,0.03347915366859725,1.1019543357250111E7,-,8075,3523,4552,145.71,2.656,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5732061722846904,0.31210340775558165,2.520235017626322,175.27092250922496,52.413508347978926,"1,52",3.100673328645271,52.61,28.23
,,,D12,15,41,SAMPLE,16S-515F+806R,16S,-,-,2439.549754863979,-,0.030736988227672103,1.4637298529183876E7,-,8110,4259,3851,145.71,2.598,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.7447650132945497,0.3052878965922444,2.475884841363102,175.14129842686063,53.344092443521184,"2,77",3.4458411965515015,52.12,20.53
,,,E12,27,76,SAMPLE,16S-515F+806R,16S,-,-,877.1548562605963,-,0.045077177200028726,5262929.137563578,-,8107,1902,6205,145.71,2.594,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.2673724673489996,0.3048178613396005,2.471158401880141,170.40996319663515,49.795157131345704,"1,22",3.2053176143249678,52.27,26.18
,,,F12,9,25,SAMPLE,16S-515F+806R,16S,-,-,1180.984214076882,-,0.03940721072641651,7085905.2844612915,-,8136,2502,5634,145.71,2.648,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.36747898929207795,0.31116333725029377,2.53162491186839,174.63636290967213,50.57265885693989,"1,83",3.4704624776287996,51.0,21.64
,,,G12,28,79,SAMPLE,16S-515F+806R,16S,-,-,451.22767104511473,-,0.059579890320974174,2707366.0262706885,-,8281,1084,7197,145.71,2.646,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.14029946152589584,0.31092831962397177,2.5747974148061106,174.50359778597792,49.39293594553291,"0,42",3.00791251937574,57.37,25.53
,,,H12,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,11.943951496651357,-,0.357839258749153,-,-,7964,30,7934,145.71,2.689,-,-,12.0,-,-,Std-Ref,-,-,0.003774064109811457,0.31598119858989426,2.516474265569918,151.69866666666667,37.40818502646847,"0,05",2.8851260501425045,60.43,13.12
